abacus 算盘 
hectometer 公引 
hedge 树篱 
heed 注意 
heedless 不小心的 
heel 脚跟 
heifer 小牝牛 
height 高度 
heighten 增高 
heir 继乘人 
hell 地狱 
hello 哈□ 
helm 舵 
helmet 盔 
help 帮忙 
helper 助手 
helpful 有帮助的 
helpless 无助的 
hem 衣服缝边 
hemisphere 半球 
hemlock 毒草名 
hemp 大麻 
hen 母鸡 
hence 因此 
henceforth 从今以後 
her 她 
herald 先锋 
herb 香草 
herd 群 
here 这□ 
hereafter 今後 
hereby 特此 
hereditary 遗传的 
herein 在此处 
heresy 异教 
heretic 异教徒 
heretofore 此时以前 
heritage 遗产 
hermit 隐士 
hero 英雄 
heroic 英雄式的 
heroine 女英雄 
heroism 英勇的行为 
heron 苍鹭 
herring 青鱼 
hers 她的 
herself 她自己 
hesitate 迟疑 
hesitation 疑虑 
hew 砍伐 
hey 喂 
hickory 山胡桃木 
hide 躲藏 
hideous 可怕的 
high 高的 
highland 高地 
highly 高度地 
highness 高度地 
highway 高速公路 
hike 远足 
hiking 徒步旅行 
hill 小丘 
hillside 山坡 
hilltop 山顶 
him 他 
himself 他自己 
hind 後边的 
hinder 阻止 
hinge 关键 
hint 暗示 
hip 臀部 
hire 雇用 
his 他的 
hiss 嘶嘶声 
historian 历史学家 
historic 历史性的 
historical 历史上的 
history 历史的 
hit 打 
hitch 拴住 
hither 到此处 
hitherto 至今 
hive 蜂房 
ho 吓声 
hoard 囤积 
hoarse 嘶哑声 
hobby 嗜好 
hockey 曲棍球 
hoe 锄头 
hog 猪 
hoist 升起 
hold 握住 
holder 持有人 
hole 洞穴 
holiday 假日 
hollow 空的 
holly 冬青树 
holy 神圣的 
homage 效忠 
home 家园 
homely 家常的 
homemade 自□的 
homesick 想家 
homestead 家园 
homeward 回家 
homework 家庭作业
homogeneous 同类	
honest 诚实的 
honestly 坦白的 
honesty 诚实 
honey 蜂蜜;爱人 
honeycomb 蜂房 
honeymoon 蜜月假期 
honeysuckle 金银花 
honor 荣誉 
honourable 诚实的 
hood 兜帽 
hoof 蹄 
hook 钩子 
hoop 圈状物 
hoot 叫嚣;鸣叫 
hop 跳跃 
hope 希望 
hopeful 有希望的 
hopeless 绝望的 
hopely 有希望地 
horde 群众 
horizon 地平线 
horizontal 水平的 
horn 犄角 
horrible 可怕的 
horribly 可怕地 
horrid 讨厌地 
horrify 惊吓 
horror 恐怖 
horse 马 
horseback 马背 
horseman 骑师 
horsepower 马力 
horseshoe 马蹄铁 
hose 长袜 
hospital 医院 
hospitality 亲切 
hostess 女主人 
hostile 怀敌意的 
hostility 敌意 
hot 热 
hotel 旅馆 
hound 猎犬 
hour 一小时 
house 屋子 
household 家族 
housekeeper 女管家 
housekeeping 家政 
housewife 主妇 
housework 家事 
hover 徘徊 
how 怎样 
however 然而 
howl 狂吠 
hue 色调 
hug 紧抱 
huge 巨大的 
hum 哼声 
human 人性;人的 
humane 有人情的 
humanism 人道主义 
humanity 人道 
humble 谦逊 
humiliate 羞辱 
humiliation 丢脸 
humility 谦逊 
humor 幽默 
humorous 幽默的 
hundred 一百 
hunger 饥饿 
hungry 饥饿的 
hunt 打猎 
hunter 猎人 
hurricane □风 
hurried 仓促的 
hurry 急忙 
hurt 使受伤 
husband 丈夫 
hut 茅舍 
hybrid 混血 
hydrogen 氢气 
hygiene 卫生 
hymn 圣歌 
hyphen 连字符号 
hypocrisy 伪善 
hypocrite 伪善者 
hysterical 狂乱的 
ice 冰 
ice cream 冰淇淋 
iceberg 冰山 
icy 冰的 
idea 主意 
identical 全同的 
identify 确认 
idiom 成语 
idiot 白□ 
idle 懒惰的 
idleness 怠惰 
idol 偶像 
if 如果 
ignorance 无知 
ignorant 愚昧的 
ignore 忽视 
ill 生病的 
illegal 不合法的 
illness 疾病 
illuminate 说明 
illumination 亮度 
illusion 幻象 
illustrate 图解说明 
illustration 插图 
illustrator 画插图者 
illustrious □出的 
image 形像 
imaginary 虚构的 
imagination 想像 
imaginative 富於想像的 
imagine 想像 
imitate 模□ 
imitation 模拟 
immediate 立刻的 
immediately 即刻地 
immemorial 太古的 
immense 无限的 
immigrant 移民 
immigration 迁居移民 
imminent 即将来临的 
immortal 不朽的 
immortality 不朽 
impair 损害 
impart 传授 
impartial 公平的 
impatience 不耐烦 
impatient 不耐烦的 
impel 推进 
imperative 必要的 
imperfect 不完善的 
imperial 帝国的 
imperious 傲慢的 
impetuous 奔腾的 
implement 器具 
implore 哀求 
imply 暗示 
import 进口 
importance 重要性 
important 重要的 
impose 加□於 
imposing 堂皇的 
impossibility 不可能的事 
impossible 不可能的 
impress 印像深刻 
impression 印像 
impressive 难忘的 
imprison 下狱 
imprisonment 坐牢 
improper 不合适的 
improve 改良 
improvement 改善 
impulse □力 
in 在□之内 
inability 无能 
inactive 迟顿的 
inadequate 不适当的 
inasmuch 因□之故 
inaugurate 就任 
incapable 无能的 
incense 香气 
incentive 动机 
incessant 不停的 
inch □ 
incident 事件 
incidentally 偶然地 
inclination 倾向 
incline 倾斜 
inclose 封入 
include 包含 
income 收入 
inconvenience 不方便 
inconvenient 不方便的 
incorporate 组成公司 
increase 增加 
increasingly 逐渐地 
incredible 难以置信的 
incur 引起 
indebted 负债 
indeed 的确 
indefinite 不明确的 
independence 独立 
independent 独立的 
index 索引 
indicate 指示 
indication 指示 
indicative 指示的 
indictment 起诉 
indifference 不重视 
indifferent 无关紧要的 
indignant 愤愤不平 
indignation 愤怒 
indigo 靛青 
indirect 间接的 
indispensable 不可缺少的 
individual 个别的 
individuality 个性 
indoor 室内的 
indoors 在室内 
induce 引起 
indulge 放任 
indulgence 嗜好 
industrial 工业的 
industrious 勤勉的 
industry 工业 
inert 无生命的 
inevitable 必然的 
inexpensive 廉价的 
inexperience 没经验 
infancy 婴儿期 
infant 婴儿 
infantry 步兵 
infect 传染 
infection 传染 
infer 推论 
inference 论断 
inferior 低等的 
infernal 地狱的 
infest 扰乱 
infinite 无限的 
infinitive 不定词 
inflame 激起 
inflation 通货膨胀 
inflict 加以 
influence 影响 
influential 有影响的 
influenza 流行性感冒 
inform 通知 
informal 非正式的 
information 消息;资料 
ingenious 有创造力的 
ingenuity 创造力 
ingredient 成分 
inhabit 居住於 
inhabitant 居住者 
inherit 继承 
inheritance 继承权 
inheritress 女继承人 
initial 最初的 
initiative 初步 
injunction 命令 
injure 受伤害 
injurious 有害的 
injury 受伤 
injustice 不公正 
ink 墨水 
inkstand 墨水瓶架 
inland 内地的 
inlet 入口 
inmate 室友 
inn 旅馆 
inner 内在的 
inning 一局 
innocence 无辜 
innocent 无辜的 
innumerable 无数的 
inquire 询问;调查 
inquiry 询问;查调 
inquisitive 好奇的 
insane 有精神病的 
insanity 精神错乱 
inscribe 刻写 
inscription 题字 
insect 昆□ 
insensible 没有知觉的 
inseparable 不可分离的 
insert 插入 
inside 内部 
insight 眼光 
insignificant 无关紧要的 
insist 坚持 
insolent 粗野的 
inspect 检查 
inspection 调查 
inspector 检查员 
inspiration 灵感 
inspire 激发 
install 安装 
installation 装置物 
installment 分期付款 
instance 例证 
instant 即刻 
instantly 即刻地 
instead 代替 
instinct 本能 
instinctive 直觉的 
institute 研究所 
institution 团体 
instruct 教导 
instruction 指示 
instructive 教育性 
instructor 讲师 
instrument 仪器 
insufficient 不足的 
insult 侮辱 
insurance 保险 
insure 保险 
intellect 知识份子 
intellectual 智力的 
intelligence 智能 
intelligent 智能高的 
intend 打算 
intense 紧张的 
intensity 强度 
intent 意图 
intention 意图 
intently 一心一意 
intercept 截夺 
interchange 互换 
intercourse 交接 
interest 兴致 
interested 有兴趣的 
interesting 有兴趣的 
interfere 妨碍 
interference 干扰 
interior 在内的 
interjection 感叹词 
intermediate 中间的 
internal 内在的 
international 国际的 
interpret 翻译 
interpretation 解释 
interpreter 翻译者 
interrogation 疑问 
interrogative 疑问的 
interrupt 中断 
interruption 干扰 
interval 间隔 
intervene 干涉 
intervention 介入 
interview 晤面 
intimacy 亲近 
intimate 亲切的 
into 到 
intolerable 无法忍受的 
intonation 发声法 
intoxicate 使醉 
intricate 纠缠的 
intrigue 阴谋 
introduce 介绍 
introduction 引导 
intrude 挤入 
intruder 侵入者 
intrusion 侵入 
invade 侵扰 
invader 侵入者 
invalid 病人 
invaluable 无价的 
invariably 不变化地 
invasion 侵入 
invent 发明 
invention 发明 
inventor 发明家 
invert 颠倒过来 
invest 投资 
investigate 调查 
investigation 调查 
investigator 研究者 
investment 投资 
investor 投资者 
invisible 眼看不见的 
invitation 邀请 
invite 邀请 
involuntary 自然而然的 
involve □入 
inward 中心的 
iris 鸢尾花 
iron 铁 
irony 讽刺 
irregular 不规则的 
irresistible 不能抵抗的 
irrigation 灌溉 
irritate 激怒 
irritation 刺激 
is 是 
island 岛 
isle 小岛 
isolate 使孤立 
it 它 
itch □ 
item 项目 
its 它的 
itself 它本身 
ivory 象牙 
ivy 常春藤 
jack 小起重机 
jacket 夹克 
jail 监狱 
jam 果酱;阻塞 
January 一月 
Japan 日本 
jar 缸 
jaw 颚 
jazz 爵士舞 
jealous 妒忌的 
jealousy 妒忌 
jeer 嘲笑 
jelly 果子冻 
jerk 愚笨之人 
jersey 毛织运动衫 
jest 戏弄 
jet 喷射 
jewel 宝石 
jewelry 首饰 
jingle 叮铃 
job 职业 
join 接合 
joint 关节 
joke 笑话 
jolly 痛快的 
journal 日□ 
journalism 新闻学 
journalist 新闻记者 
journey 旅程 
joy 喜悦 
joyful 欢喜的 
joyous 快乐的 
judge 法官;裁判 
judgment 判断 
judicial 司法的 
jug 细颈瓶 
juice 汁液 
juicy 多水分的 
July 七月 
jump 跳跃 
jumpy 神经过敏的 
junction 会合 
June 六月 
jungle 丛林 
junior 初级的 
jurisdiction 司法权 
jury 陪审团 
just 正好 
justice 正义 
justification 辩护 
justify 辩护 
justly 公正地 
jut 突出 
juvenile 少年的 
kangaroo 袋鼠 
keel 龙骨 
keen 敏锐的 
keep 保持;收藏 
keeper 管理人 
keeping 保管 
ken 眼界 
kennel 狗屋 
kernel 颗粒 
kerosene 煤油 
kettle 水壶 
key 钥匙 
kick 踢 
kid 小孩 
kidnap 绑架 
kidney 肾 
kill 杀 
kiloliter 公秉 
kilometer 公里 
kin 亲属 
kind 仁慈;种类 
kindle 燃烧 
kindly 仁慈地 
kindness 仁慈 
kindred 亲属 
king 国王 
kingdom 王国 
kingly 国王的 
kinsman 男性亲属 
kiss 接吻 
kitchen 厨房 
kite 风筝 
kitten 小猫 
kitty 猫咪 
knave 骗子 
knead 搓揉 
knee 膝盖 
kneel 下跪 
knell 丧钟 
knife 刀子 
knight 骑士 
knighthood 骑士风格 
knightly 骑士的 
knit 编织 
knob 把手 
knock 敲;撞 
knoll 小丘 
knot 打结 
know 知到 
knowing 博学的 
knowledge 知识 
known 知名的 
knuckle 指关节 
label 标□ 
labor 劳工;分娩 
laboratory 实验室 
laborer 劳动者 
laborious 辛劳的 
lace 花边 
lack 缺乏 
lad 小伙子 
ladder 阶梯 
laden 充满的 
lady 女士 
lag 落後 
lair 巢穴 
lake 湖 
lamb 小羊 
lame 跛足 
lament 哀悼 
lamentable 可悲的 
lamentation 哀伤 
lamp 灯 
lance 长矛 
land 土地 
landing 着陆 
landlady 女房东 
landlord 房东 
landmark 界标 
landscape 风景 
lane 小路 
language 语言 
languish 凋谢;憔悴 
lantern 灯笼 
lap 大腿;重叠 
lapse 失误 
lard 猪油 
large 大的 
lark □雀 
larva 幼□ 
lash 睫毛;皮鞭 
lass 女孩 
last 最後的 
lasting 持久的 
latch 门闩 
late 迟了 
lately 最近 
latent 潜在的 
later 更迟的 
lateral 旁边的 
latest 最迟的 
latitude 纬线 
latter 後者 
laugh 笑 
laughter 笑声 
launch 发动;创办 
laundry 洗衣店 
laurel 月桂树 
lava 岩浆 
lavender 薰衣草 
lavish 浪费的 
lavishly 过度地 
law 法律 
lawful 合法的 
lawless 非法的 
lawn 草地 
lawyer 律师 
lay 安置;产卵 
layer 一层 
layman 外行人 
lazily 懒洋洋地 
lazy 懒惰的 
lead 铅;引导 
leader 领导者 
leadership 领导能力 
leading 领导的 
leaf 树叶 
leafy 多叶的 
league 联盟 
leak 会漏的 
lean 倾斜;瘦的 
leap 跳;跃 
learn 学习 
learned 有学问的 
learning 学问 
lease 租约 
least 最少的 
leather 皮革 
leave 留下;离开 
leaven 酵母 
lecture 演讲 
lecturer 讲师 
ledge 壁架;暗礁 
lee 避风处 
leech 水蛭 
left 左边 
leg 腿 
legal 法律的 
legally 合法地 
legend 传说 
legion 军团 
legislation 法规 
legislative 立法的 
legislature 立法机关 
legitimate 合法的 
leisure □暇 
leisurely 悠□的 
lemon 柠檬 
lemonade 柠檬水 
lend 借出 
length 长度 
lengthen 加长 
lens 镜头 
leopard 豹子 
less 较少的 
lessen 减少 
lesser 比较少 
lesson 课程 
lest 以免 
let 让;假定 
letter 字母 
lettuce 生菜 
level 水□ 
lever □□ 
levy 徵收 
liability 责任 
liable 有责任的 
liar 说谎者 
liberal 自由派的 
liberate 释放 
liberty 自由 
librarian 图书管理员 
library 图书馆 
license 执照 
lichen 青苔 
lick 舔 
lid 盖子 
lie 谎话 
lieutenant 陆军中尉 
life 生命 
lifeless 无生命的 
lifetime 一生 
lift 举起 
light 光 
lighten 照亮 
lighthouse 灯塔 
lightly 轻轻的 
lightning 闪电 
like 喜欢 
likelihood 多半 
likely 或许;可能 
likeness 类似 
likewise 同样地 
liking 爱好 
lilac 紫丁香 
lily 百合花 
limb 手足 
lime 石灰 
limestone 石灰石 
limit □围 
limitation 限制 
limited 有限的 
limp 徐行 
line 线 
linen 亚麻布 
linger 徘徊 
lining 衬□ 
link 链环 
linoleum 油布 
lion 狮子 
lip 唇 
liquid 液体 
liquor 酒精饮料 
list 名单 
listen 倾听 
listener 倾听者 
liter 公升 
literal 文字的 
literally 按照字面 
literary 文学的 
literature 文艺;文献 
litter 残馀物 
little 小 
live 居住 
livelihood 生计 
lively 生气勃勃的 
liver 肝脏 
livery 出租车 
living 生的 
lizard 蜥蜴 
load 负载 
loaf 一块□ 
loan 借款 
loath 厌恶的 
loathe 憎恶 
lobby 休息室 
lobster 龙虾 
local 地方性的 
locality 位置 
locate 设置 
location 场所 
lock 锁 
locomotive 机关车 
locust 蝗□ 
lodge 小屋 
lodging 住宿 
loft 楼厢 
lofty 高远的 
log 圆形木材 
logic 逻辑 
logical 逻辑的 
loin 腰肉 
loiter □混 
lone 孤单的 
loneliness 孤单 
lonely 寂寞的 
lonesome 寂寞的 
long 长 
longing 切望 
longitude 经度 
look 看 
lookout 眺望 
loom 织布机 
loop 圈 
loose □开的 
loosen 放□ 
lord 贵族 
lordly 有气派的 
lordship 贵族身份 
lorry 载货汽车 
lose 失 
loss 损失 
lost 失去的 
lot 大量,地皮 
loud 高声的 
loudly 高声地 
loudspeaker 喇叭 
lounge 休息室 
love 爱 
lovely 可爱的 
lover 爱人 
loving 爱的 
low 低的 
lower 降下 
lowland 低地 
loyal 忠诚的 
loyalty 忠诚 
luck 运气 
luckily 侥□地 
lucky 好运的 
luggage 行李 
lullaby 催眠曲 
lumber 木料 
luminous 发光的 
lump 块状 
lunatic 丧心病狂的 
lunch 午餐 
luncheon 午餐 
lung 肺 
lure 吸引 
lust □望 
luster 光泽 
lute 琵琶 
luxurious 豪华的 
luxury 奢侈 
lyric 歌词 
machine 机器 
machinery 机械装置 
mad 发狂;发怒 
madam 太太 
madame 夫人 
made □造的 
madly 发狂地 
madman 狂人 
madness 疯狂 
magazine 杂□ 
magic 魔□ 
magician 魔□师 
magistrate 行政长官 
magnet 磁铁 
magnetic 磁性的 
magnificence 壮丽 
magnificent 壮丽的 
magnify 扩大 
magnitude 大小 
mahogany 桃花心木 
maid 侍女 
maiden 少女 
mail 邮件 
maim 伤害 
main 最主要的 
mainland 大陆 
mainly 主要地 
maintain 维护 
maintenance 维持费 
majestic 崇高的 
majesty 尊严 
major 主要;主修 
majority 多数 
make 造;得;使 
maker □造者 
makeup 化妆品 
malady 疾病 
malaria 疟疾 
male 雄性的 
malice 恶意 
malicious 恶毒的 
mama 妈妈 
mamma 妈妈 
mammal 哺乳动物 
man 男人 
manage 管理 
management 管理 
manager 经理 
mandate 命令 
mandolin 洋琵琶 
mane 鬃 
maneuver 演习;巧计 
manger 食槽 
mangle 撕裂 
manhood 成人 
manifest 明□的 
manifestation 证明 
manifold 多样的 
mankind 人类 
manly 男子气的 
manner 态度;方法 
manor 封地 
mansion 大厦 
mantle 斗篷 
manual 手册 
manufacture □造 
manufacturer □造业者 
manure 肥料 
manuscript 手稿 
many 许多的 
map 地图 
maple 枫树 
mar 损坏 
marble 大理石 
March 叁月 
mare 母马 
margin 边缘 
marginal 界限的 
marine 海□的 
mariner 水手 
maritime 海上的 
mark 符号 
market 市场 
marquis 侯爵 
marriage 婚姻 
married 已婚的 
marrow 骨髓 
marry 结婚 
marsh 沼泽 
marshal 军官 
mart 商业中心 
martial 军事的 
martyr 烈士 
marvel 奇事;奇景 
marvellous 不平凡的 
marvellously 不平凡地 
masculine 男子气的 
mash 糊 
mask 面具 
mason 泥水匠 
masquerade 化妆舞会 
mass 大量 
massacre 大屠杀 
massive 大量的 
mast 天线 
masterpiece 名着 
mat 垫子 
match 火柴;相配 
matchless 无比的 
mate 配偶 
material 材料;物质 
materially 物质上的 
maternal 母□的 
mathematic 数学的 
mathematics 数学 
matron 女舍监 
matter 事情 
mattress 床垫 
mature 成熟 
maturity 成熟;到期 
maxim 格言 
maximum 最多的 
May 五月 
may 可能 
maybe 大概 
mayonnaise 美乃滋酱 
mayor 市长 
maze 迷阵 
me 我 
mead 蜂蜜酒 
meadow 草地 
meager 清瘦的 
meal 膳食 
mean 意谓;吝啬 
meaning 含意 
means 方法 
meantime 同时 
meanwhile 同时 
measles □疹 
measure 度量 
measurement 度量衡 
meat 肉 
mechanic 技工 
mechanical 机械的 
mechanically 机械地 
mechanism 结构 
medal 奖章 
meddle 介入 
medicine 药剂 
medieval 中世纪的 
meditate 考虑 
meditation 沈思 
medium 中等的 
meek 谦和的 
meekly 谦和地 
meet 遇见;会合 
meeting 会议 
megaphone 扩音器 
melancholy 愁绪 
mellow 成熟的 
melody 旋律 
melon 瓜 
melt 溶化 
member 会员 
membership 会友 
membrane 薄膜 
memoir 调查报告 
memorable 难忘的 
memorandum 备忘录 
memorial 纪念 
memorize 记住 
memory 记忆 
menace 威胁 
mend 修补 
mental 心理的 
mention 提到 
menu 菜单 
mercenary 受雇的 
merchandise 商品 
merchant 商人 
merciful 仁慈的 
merciless 残忍的 
mercury 水银 
mercy 慈悲 
mere 仅仅的 
merely 仅仅 
merge 合□ 
meridian 子午线 
merit 优点 
merrily 快乐地 
merriment 欢乐 
merry 快乐的 
mesh 网孔 
mess 杂乱 
message 音信 
messenger 信差 
metal 金属 
metallic 金属的 
meteor 流星 
meter 公尺 
methinks 我认为 
method 方法 
metropolis 首府 
metropolitan 大都会 
mew 猫叫声 
Mexican 墨西哥人 
Mexico 墨西哥 
microphone 扩音器 
microscope 显微镜 
mid 中间的 
midday 正午 
middle 中间 
middleaged 中年的 
midnight 午夜 
midst 中央 
midsummer 仲夏 
midway 中途 
might 强权 
mighty 强势的 
migrate 迁移 
migration 迁居 
mild 温和的 
mildly 温和地 
mile 英里 
military 军事的 
milk 牛奶 
milky 乳白色的 
mill 磨子 
miller 磨坊主 
milligram 毫克 
milliliter 公撮 
millimeter 公□ 
million 百万 
millionaire 百万富翁 
millstone 磨石 
mince 剁碎 
mind 心 
mine 我的 
miner 矿工 
mineral 矿物 
mingle 混合 
miniature 缩小模型 
minimum 最低限度 
mining □矿 
minister 部长 
ministry 牧师之职 
mink 貂皮 
minor 未成年人 
minority 少数民族 
mint 薄荷 
minus 减去 
minute 分钟 
miracle 奇□ 
miraculous 奇□的 
mirror 镜子 
miscellaneous 杂项的 
mischief 恶作剧 
mischievous 恶作剧的 
miser 吝啬 
miserable 凄惨的 
miserably 可哀地 
misery 不幸 
misfortune 不幸 
mishap 不幸之事 
miss 小姐;失误 
missile 飞弹 
mission 任务 
missionary 传道者的 
mist 雾 
mistake 错 
mister 先生 
mistress 女主人 
mistrust 不信任 
misty 迷□的 
misunderstanding 误会 
misuse 误用 
mitten 手套 
mix 混杂 
mixture 混合物 
moan 悲叹 
moat 护城河 
mob 乌合之众 
mock 愚弄 
mockery 嘲笑 
mode 样式 
model 模式 
moderate 适当的 
moderately 适度地 
moderation 缓和 
modern 现代的 
modest 谦虚的 
modestly 谨慎地 
modesty 谦逊 
modification 修正 
modify 修正 
moist 湿的 
moisten 濡湿 
moisture 湿气 
mold 模子 
mole 黑痣 
molest 折磨 
molten 融解 
moment 瞬间 
momentary 瞬间的 
monarch 君主 
monarchy 君主政治 
monastery 修道院 
Monday 星期一 
money 钱 
monk 僧侣 
monkey 猴子 
monopoly 垄断贩卖 
monotonous 单调的 
monster 怪物 
monstrous 怪物似的 
month 月 
monument 纪念碑 
monumental 极为庞大 
mood 心情 
moon 月亮 
moonlight 月光 
moose 大鹿 
mop 拖把 
moral 道德 
morality 道德 
more 更多 
moreover 此外 
morning 早晨 
morrow 明日 
mortal 会死的 
mortality 死亡率 
mortgage 抵押 
mosquito 蚊子 
moss 苔藓 
mossy 生苔的 
most 最多的 
mostly 大部份 
moth □ 
mother 母亲 
motion 运行 
motionless 不动的 
motive 动机 
motor 马达 
motorcar 汽车 
motorist 常坐汽车者 
motto 座右铭 
mound 土堆 
mount 骑 
mountain 山 
mountaineer 登山家 
mountainous 多山的 
mourn 哀悼 
mournful 悲恸的 
mouse 老鼠 
mouth 嘴巴,口 
mouthful 一口 
movable 可动的 
move 移动 
movement 进行 
movie 电影 
mow 割草 
much 非常多 
mud 泥 
muddy 肮□的 
muffin □饼 
mug 茶杯 
mulberry 桑 
mule 骡 
multiplication 乘法 
multiply 乘 
multitude 多数 
mummy 木乃伊 
municipal 市政的 
murder 谋杀 
murderer 凶手 
murmur 私语 
muscle 肌肉 
muscular 肌肉发达的 
muse 瞑想 
museum 博物馆 
mushroom 蘑菰 
music 音乐 
musical 音乐的 
musician 音乐家 
must 一定要 
mustache □ 
mustard 芥末 
mute 哑的 
mutiny 叛乱 
mutter 低语 
mutton 羊肉 
mutual 相互的 
muzzle 鼻口部分 
my 我的 
myself 我自己 
mysterious 神□的 
mystery 神□ 
myth 神话 
mythology 神话 
nail 指甲 
naked 裸的 
name 名字;姓 
nameless 无名的 
namely 即 
napkin 餐巾 
narcotic 麻醉剂 
narration 叙述 
narrative 故事 
narrow 窄 
nasty 污秽的 
nation 民族 
national 全国性 
nationality 国籍 
native 土着的 
natural 自然的 
naturally 当然地 
nature 自然 
naught 无;零 
naughty 顽皮的 
naval 海军的 
navigation 航行 
navigator 航海者 
navy 海军 
nay 不 
near 近 
nearby 在附近 
nearly 几乎 
neat 乾净的 
neatly 整洁地 
nebula 星□ 
necessarily 必然 
necessary 必要的 
necessitate 需要 
necessity 必需 
neck 颈部 
necklace 项□ 
need 需要 
needle 缝针 
needless 不必要的 
needy 贫穷的 
negative 否定的 
neglect 疏忽 
negligence 疏忽 
negligent 大意的 
negotiate 谈判 
negotiation 谈判 
neighbor 邻居 
neighborhood 街坊 
neighboring 附近的 
neither 也不 
nephew 外甥 
nerve 神经;胆量 
nervous 紧张 
nervously 紧张地 
nest 窝巢 
nestle 依偎 
net 网;净值 
nettle □麻 
network 广播网 
neutral 中性的 
never 从来不 
nevertheless 然而 
new 新的 
newcomer 新来的人 
newly 新近 
news 新闻 
newspaper 报纸 
next 下一次 
nibble 轻咬 
nice 美好的 
nicely 好好地 
nick 缺口 
nickel 五分美金 
nickname 外号 
niece □女;甥女 
nigh 近 
night 夜晚 
nightfall 黄昏 
nightingale 夜莺 
nightly 每夜 
nightmare 恶梦 
nimble 敏捷的 
nine 九 
nineteen 十九 
nineteenth 第十九 
ninetieth 第九十 
ninety 九十 
ninth 第九 
nip 咬;夹 
nitrogen 氮气 
no 不是 
nobility 贵族 
noble 高贵的 
nobleman 贵族 
nobly 高尚地 
nobody 没有人 
nod 点头 
noise 吵闹声 
noiseless 无声的 
noiselessly 无声地 
noisy 吵闹的 
nominate 提名 
nomination 提名 
nominative 主格 
none 没有 
nonsense 无聊 
nook 角落 
noon 正午 
noonday 正午的 
nor 也不 
normal 正常的 
north 北方 
northeast 东北方 
northeastern 东北方的 
northern 北方的 
northward 向北地 
northwest 西北方 
northwestern 西北方的 
nose 鼻子 
nostril 鼻孔 
not 不;不是 
notable 着名的 
notably 着名地 
notch 刻痕 
note 笔记 
notebook 笔记本 
noted 着名的 
nothing 没甚麽 
notice 通知;注意 
noticeable 值得注意的 
notify 通知 
notion 观念 
notorious 恶名昭彰 
notwithstanding 虽然 
nought 无 
noun 名词 
nourish 滋养 
nourishment 营养品 
novel 小说 
novelist 小说家 
novelty 新奇的事物 
November 十一月 
now 现在 
nowadays 如今 
nowhere 无处 
nuclear 核子的 
nucleus 核子 
nuisance 讨厌的东西 
numb 麻木的 
number 数字 
numeral 数字 
numerous 无数的 
nun 修女;尼姑 
nuptial 婚礼 
nurse 护士 
nursery 托儿所 
nut 坚果 
nutrition 营养 
nylon 尼龙 
nymph 女神 
oak 橡树 
oaken 橡木的 
oar 桨 
oasis 绿洲 
oat 燕麦 
oath 誓约 
oatmeal 燕麦粥 
obedience 服从 
obedient 顺从的 
obey 服从 
object 物件 
objection 反对 
objective 目标;受格 
obligation 义务 
oblige 责成 
oblivion 埋没 
obscure 无名的 
obscurity 隐晦;含糊 
observance 奉行 
observation 观察 
observatory 天文台 
observe 观察 
observer 观察者 
obstacle 障碍 
obstinacy 顽固 
obstinate 顽固的 
obstruct 阻隔 
obstruction 障碍 
obtain 获得 
obvious 显然的 
obviously 显然地 
occasion 场合;时机 
occasional 偶然的 
occasionally 偶然地 
occupant □领者 
occupation 职业 
occupy □领 
occur 发生 
occurrence 发生 
ocean 海洋 
October 十月 
odd 奇数;零头 
oddly 古怪地 
odds 可能性 
ode 颂词 
odor 气味 
of 属於 
off 关闭;离开 
offend 触犯 
offender 冒犯者 
offense 侵犯 
offensive 有攻击性的 
offer 提供 
offering 奉现 
office 办公室 
officer 官员 
official 公务的 
officially 官方的 
offset 透印版印刷 
offspring 子孙 
often 常常 
oh 啊呀 
oil 油 
oily 油油的 
ointment 药膏 
old 老的 
oldfashioned 过时的 
oldtime 古来的 
olive 橄榄树 
omen 预兆 
ominous 不吉利的 
omission 省略 
omit 略去 
omnibus 公共汽车 
on 在..之上 
once 一次 
one 一 
oneself 自己 
onion 洋葱 
only 只有 
onto 到□之上 
onward 前进 
ooze 烂泥 
opal 蛋白石 
open 开 
opening 揭幕 
openly 公开地 
opera 歌剧 
operate 操作 
operation 动作;手□ 
operator 操作者 
opinion 意见 
opium 鸦片 
opponent 对抗者 
opportunity 机会 
oppose 反对 
opposite 相反的 
opposition 反对 
oppress 压迫 
oppression 压迫 
optimism 乐观 
or 或者 
oracle 神谕 
oral 口头的 
orange 橘子 
oration 演说 
orator 演说者 
orbit 轨道 
orchestra 管弦乐团 
ordain 命运□定 
ordeal 考验 
order 顺序 
orderly 整齐 
ordinal 顺序数 
ordinance 法令 
ordinarily 通常 
ordinary 普通的 
ore 矿石 
organ 风琴 
organic 器官的 
organism 有机体 
organization 组织 
organize 组织 
orient 东方 
oriental 东方的 
origin 起源 
original 最初的 
originality 创作力 
originally 本来 
originate 起始 
ornament 装饰物 
ornamental 装饰的 
orphan 孤儿 
orthodox 正统的 
ostrich 鸵鸟 
other 别的 
otherwise 不然的话 
ought 应当是 
ounce 盎司 
our 我们的 
ourself 我门本人 
ourselves 我们自己 
out 外 
outbreak 爆发 
outburst 突发 
outcome 结果 
outcry 叫喊 
outdoor 户外的 
outdoors 在户外 
outer 在外的 
